"BPI","Team"
316,"UC Santa Barbara"
317,"UT Rio Grande Valley"
318,"Maryland-Eastern Shore"
319,"Central Arkansas"
320,"Incarnate Word"
321,"Nicholls"
322,"Grambling"
323,"SIU Edwardsville"
324,"VMI"
325,"Morgan State"
326,"Southern Utah"
327,"Savannah State"
328,"Southern Miss"
329,"Northern Arizona"
330,"Idaho State"
331,"Lafayette"
332,"Hartford"
333,"Maine"
334,"Western Carolina"
335,"Alabama State"
336,"McNeese"
337,"Delaware State"
338,"Howard"
339,"Central Connecticut"
340,"Mississippi Valley State"
341,"Bethune-Cookman"
342,"South Carolina State"
343,"Chicago State"
344,"St Francis (BKN)"
345,"Florida A&M"
346,"Longwood"
347,"Arkansas-Pine Bluff"
348,"Coppin State"
349,"Presbyterian College"
350,"North Carolina A&T"
351,"Alabama A&M"
